district_id,name,district_type,population,households,median_income_vs,unemployment_rate,pct_over65,pct_tertiary_edu,hospital_beds_per_1000,vehicles_per_household,survey_year
D01,Old Vallmara,urban_core,189037,68042,35000.0,0.1105,0.2649,0.348,2.36,0.938,2024
D02,Harbourgate,urban_core,197870,84791,28100.0,0.1269,0.1086,0.3881,3.09,0.894,2024
D03,Kestrel Quay,suburban,22943,8583,28600.0,0.1586,0.1292,0.3505,0.81,1.118,2024
D04,Marnvik,suburban,38295,14312,,0.136,0.1195,0.2881,0.91,1.067,2024
D05,Sundholm,suburban,34737,14454,30300.0,0.0817,0.2075,0.3121,5.01,1.107,2024
D06,Ardenfeld,suburban,32260,12067,25700.0,0.1324,0.2797,0.3733,6.36,1.145,2024
D07,Cliffmoor,rural,9745,4190,27500.0,0.1034,0.1559,0.3868,1.86,1.047,2024
D08,Brannock,suburban,12192,4210,26300.0,0.1239,0.2247,0.2284,1.65,1.179,2024
D09,Tarnwell,suburban,45734,17891,26600.0,0.1291,0.1806,0.2779,0.66,1.238,2024
D10,Eldrige Park,upland_rural,2013,786,19200.0,0.1117,0.2193,0.2942,0.53,1.324,2024
D11,Norrbank,upland_rural,4157,1571,22100.0,0.1337,0.2083,0.2704,0.88,1.147,2024
D12,Vestmark,rural,1470,616,22900.0,0.1297,0.2069,0.229,1.26,1.267,2024
D13,Grenholt,suburban,18371,7139,22800.0,0.1156,0.2629,0.3646,2.53,1.295,2024
D14,Ashcombe,suburban,14886,5146,23500.0,0.1407,0.2871,0.2853,0.37,1.31,2024
D15,Lyndover,upland_rural,3235,1263,18600.0,0.1135,0.2288,0.2985,0.14,1.563,2024
D16,Pellmyra,upland_rural,1526,628,27900.0,0.0995,0.2034,0.2061,1.76,1.506,2024
D17,Drakestad,upland_rural,2111,943,21600.0,0.1283,0.1582,0.1935,1.61,1.428,2024
D18,Highfen,upland_rural,3658,1386,,0.1205,0.2263,0.1177,0.0,1.797,2024
D19,Corran Vale,upland_rural,3531,1433,20400.0,0.1397,0.1754,0.147,0.0,1.58,2024
D20,Stonebeck,upland_rural,1319,525,17200.0,0.1058,0.2704,0.1808,0.0,1.689,2024
D21,Willowmere,upland_rural,1416,526,14000.0,0.1039,0.1911,0.1249,0.93,1.724,2024
D22,Fyrdal,upland_rural,1174,440,15600.0,0.1414,0.38,0.1675,0.04,1.542,2024
D23,Ostrand,upland_rural,743,266,19500.0,0.1418,0.1277,0.0691,0.0,1.89,2024
D24,Halvorn,upland_rural,1162,474,17100.0,0.1208,0.2938,0.0865,0.84,1.777,2024
D05,Sundholm,suburban,34737,14454,30300.0,0.0817,0.2075,0.3121,5.01,1.107,2024
D12,Vestmark,rural,1470,616,22900.0,0.1297,0.2069,0.229,1.26,1.267,2024
D99,Ghost District (no geometry),urban_core,189037,68042,35000.0,0.1105,0.2649,0.348,2.36,0.938,2024
