incident_id,date,lon,lat,depth_cm,damage_kvs,cause,injuries
FI0001,2023-05-03,13.944186,41.780369,48.6,425.0,river_overflow,0
FI0002,2020-05-16,13.934419,41.772319,28.0,-1.0,river_overflow,0
FI0003,2021-03-07,14.245085,41.707404,29.2,230.9,flash_flood,0
FI0004,2016-12-27,14.029446,41.551664,60.9,566.2,river_overflow,0
FI0005,2021-01-03,14.084448,41.695848,98.8,1708.0,river_overflow,0
FI0006,2021-05-02,14.184663,41.640657,42.8,497.6,drainage_failure,0
FI0007,2019-02-23,13.987405,41.702292,141.0,1203.9,flash_flood,0
FI0008,2021-11-05,13.942585,41.712523,40.2,534.3,river_overflow,1
FI0009,2018-09-16,13.965866,41.700355,68.8,744.8,flash_flood,0
FI0010,2018-07-03,13.960568,41.707938,80.2,1340.0,coastal_surge,1
FI0011,2018-07-03,14.170025,41.639526,44.1,604.3,flash_flood,0
FI0012,2016-02-16,13.92247,41.725927,17.2,298.4,drainage_failure,0
FI0013,2017-05-09,14.16636,41.638333,16.8,454.4,coastal_surge,0
FI0014,2021-01-30,13.95659,41.69466,38.0,548.6,drainage_failure,0
FI0015,2023-10-15,14.05845,41.711936,51.8,414.8,river_overflow,0
FI0016,2016-11-04,14.106297,41.690002,53.0,-1.0,river_overflow,0
FI0017,2020-04-06,13.945814,41.700429,75.5,603.3,drainage_failure,0
FI0018,2020-01-29,14.114407,41.86278,97.9,942.2,flash_flood,2
FI0019,2020-11-28,14.080989,41.697635,62.9,1700.5,river_overflow,0
FI0020,2016-01-21,13.891053,41.812701,85.9,717.3,drainage_failure,0
FI0021,2015-04-05,14.049243,41.709419,110.0,1557.3,drainage_failure,0
FI0022,2023-07-17,14.016685,41.714183,48.3,854.3,river_overflow,0
FI0023,2020-03-27,14.063153,41.707262,28.9,600.7,drainage_failure,0
FI0024,2021-10-14,13.922899,41.78933,69.6,1241.2,flash_flood,0
FI0025,2015-09-16,14.308218,41.714901,5.0,193.6,drainage_failure,0
FI0026,2020-06-10,14.063717,41.70196,100.0,805.3,flash_flood,0
FI0027,2016-04-23,13.913034,41.794557,65.6,634.6,flash_flood,0
FI0028,2016-01-02,14.234126,41.687743,,341.7,river_overflow,0
FI0029,2023-12-19,14.02267,41.712881,70.2,766.9,river_overflow,2
FI0030,2020-10-17,13.881173,41.792721,89.7,661.8,flash_flood,0
FI0031,2021-11-30,13.95164,41.697468,80.6,1156.8,river_overflow,1
FI0032,2018-12-01,13.914285,41.793626,83.3,2731.4,flash_flood,0
FI0033,2020-03-02,14.185472,41.646118,70.3,1441.0,flash_flood,0
FI0034,2017-04-18,14.163646,41.548792,42.3,179.1,drainage_failure,0
FI0035,2021-06-28,13.98814,41.794633,50.5,765.2,flash_flood,0
FI0036,2023-06-07,14.103815,41.55139,39.5,562.1,river_overflow,0
FI0037,2020-05-15,14.055606,41.706141,,495.5,drainage_failure,0
FI0038,2024-11-26,14.057864,41.705619,77.2,690.5,drainage_failure,0
FI0039,2017-12-28,13.950613,41.783012,40.3,526.0,river_overflow,0
FI0040,2018-02-23,13.887013,41.814714,36.2,357.9,flash_flood,0
FI0041,2021-10-24,13.877128,41.792245,139.2,-1.0,river_overflow,0
FI0042,2023-06-11,14.081967,41.696588,41.5,495.2,river_overflow,0
FI0043,2015-11-19,13.995536,41.715072,55.7,902.6,flash_flood,0
FI0044,2015-08-20,14.105793,41.707371,10.1,87.7,river_overflow,0
FI0045,2021-07-14,14.242309,41.871156,5.0,79.7,flash_flood,0
FI0046,2021-01-30,14.098997,41.700499,57.4,1563.8,flash_flood,0
FI0047,2023-01-14,14.008839,41.709527,75.3,359.3,river_overflow,0
FI0048,2015-08-06,13.970078,41.705091,41.0,447.0,drainage_failure,0
FI0049,2017-04-24,14.161483,41.635931,32.1,183.0,drainage_failure,0
FI0050,2019-08-18,14.026539,41.711749,52.8,216.9,drainage_failure,0
FI0051,2018-08-17,13.992782,41.707986,63.4,2148.9,flash_flood,0
FI0052,2019-04-28,13.955433,41.781237,41.6,535.3,flash_flood,0
FI0053,2024-06-13,13.975985,41.702297,96.0,2512.4,river_overflow,0
FI0054,2017-01-24,13.998168,41.716639,39.3,1707.4,drainage_failure,0
FI0055,2021-07-26,13.980611,41.69927,49.3,1136.9,flash_flood,0
FI0056,2019-12-24,14.025264,41.70993,105.9,792.2,river_overflow,0
