station_id,date,pm25_ugm3,rainfall_mm,temp_c
ST001,2022-01-01,,66.2,7.35
ST001,2022-02-01,17.87,73.2,8.78
ST001,2022-03-01,16.79,34.2,11.33
ST001,2022-04-01,15.97,46.3,17.33
ST001,2022-05-01,16.62,43.5,22.32
ST001,2022-06-01,9.71,-999.0,23.92
ST001,2022-07-01,10.46,19.3,24.59
ST001,2022-08-01,14.4,-999.0,25.1
ST001,2022-09-01,13.97,40.0,19.2
ST001,2022-10-01,11.95,82.9,16.24
ST001,2022-11-01,19.83,59.9,10.85
ST001,2022-12-01,20.65,37.5,7.83
ST001,2023-01-01,18.69,102.2,6.94
ST001,2023-02-01,16.14,91.3,8.59
ST001,2023-03-01,15.53,177.9,12.48
ST001,2023-04-01,12.37,160.0,16.72
ST001,2023-05-01,10.38,70.1,20.63
ST001,2023-06-01,10.47,34.2,21.99
ST001,2023-07-01,11.32,37.5,24.78
ST001,2023-08-01,7.15,32.6,24.5
ST001,2023-09-01,12.51,-999.0,19.91
ST001,2023-10-01,13.36,69.2,15.27
ST001,2023-11-01,17.62,-999.0,11.26
ST001,2023-12-01,17.52,83.9,10.79
ST001,2024-01-01,19.06,63.5,5.3
ST001,2024-02-01,21.96,104.3,8.48
ST001,2024-03-01,15.1,80.3,11.69
ST001,2024-04-01,12.38,52.2,14.67
ST001,2024-05-01,16.24,35.4,18.42
ST001,2024-06-01,11.91,17.9,23.71
ST001,2024-07-01,15.82,34.8,24.86
ST001,2024-08-01,6.72,41.5,25.22
ST001,2024-09-01,12.36,34.5,19.46
ST001,2024-10-01,16.92,97.9,15.95
ST001,2024-11-01,20.34,78.6,9.66
ST001,2024-12-01,19.78,46.3,8.1
ST002,2022-01-01,9.63,72.2,3.51
ST002,2022-02-01,16.17,112.6,5.03
ST002,2022-03-01,8.2,179.7,7.16
ST002,2022-04-01,,57.4,10.42
ST002,2022-05-01,4.93,101.5,18.65
ST002,2022-06-01,5.74,42.8,18.93
ST002,2022-07-01,2.29,33.9,20.16
ST002,2022-08-01,4.73,37.7,18.84
ST002,2022-09-01,5.7,39.0,15.98
ST002,2022-10-01,8.99,53.3,12.46
ST002,2022-11-01,11.76,106.5,5.53
ST002,2022-12-01,12.0,95.7,2.69
ST002,2023-01-01,13.61,96.9,3.58
ST002,2023-02-01,,120.1,4.15
ST002,2023-03-01,8.49,124.3,7.1
ST002,2023-04-01,9.46,123.0,12.78
ST002,2023-05-01,7.65,48.9,15.45
ST002,2023-06-01,4.48,38.2,17.07
ST002,2023-07-01,6.37,-999.0,18.42
ST002,2023-08-01,3.65,32.4,19.39
ST002,2023-09-01,6.25,44.1,16.3
ST002,2023-10-01,7.29,104.8,12.47
ST002,2023-11-01,8.84,52.4,6.64
ST002,2023-12-01,11.55,103.0,5.1
ST002,2024-01-01,11.76,135.0,4.35
ST002,2024-02-01,7.87,91.0,6.21
ST002,2024-03-01,10.4,110.3,6.97
ST002,2024-04-01,11.2,165.6,12.08
ST002,2024-05-01,1.0,76.2,14.87
ST002,2024-06-01,6.02,30.2,18.73
ST002,2024-07-01,,53.2,20.18
ST002,2024-08-01,5.38,37.3,18.18
ST002,2024-09-01,6.46,69.7,14.76
ST002,2024-10-01,11.59,82.8,10.64
ST002,2024-11-01,9.3,137.1,7.3
ST002,2024-12-01,13.14,145.3,3.3
ST003,2022-01-01,22.96,81.1,7.43
ST003,2022-02-01,20.13,81.5,11.11
ST003,2022-03-01,18.38,58.4,12.75
ST003,2022-04-01,16.86,33.5,16.44
ST003,2022-05-01,13.61,42.6,20.71
ST003,2022-06-01,13.89,22.6,26.21
ST003,2022-07-01,14.54,21.4,25.19
ST003,2022-08-01,,12.8,23.81
ST003,2022-09-01,18.87,46.3,22.89
ST003,2022-10-01,21.11,34.9,15.71
ST003,2022-11-01,21.11,62.7,13.08
ST003,2022-12-01,20.3,-999.0,9.26
ST003,2023-01-01,,51.0,6.81
ST003,2023-02-01,26.74,68.0,9.84
ST003,2023-03-01,20.65,67.3,9.56
ST003,2023-04-01,17.68,33.6,17.09
ST003,2023-05-01,22.03,35.7,21.76
ST003,2023-06-01,12.96,-999.0,25.33
ST003,2023-07-01,16.01,25.7,24.46
ST003,2023-08-01,13.96,16.4,23.71
ST003,2023-09-01,16.67,36.6,22.32
ST003,2023-10-01,19.08,82.5,18.06
ST003,2023-11-01,25.54,79.9,13.28
ST003,2023-12-01,20.35,50.2,11.56
ST003,2024-01-01,19.31,95.7,8.61
ST003,2024-02-01,22.03,53.7,11.42
ST003,2024-03-01,20.9,41.1,13.27
ST003,2024-04-01,16.45,53.5,17.57
ST003,2024-05-01,16.33,23.9,22.6
ST003,2024-06-01,15.97,16.8,24.24
ST003,2024-07-01,14.56,26.8,25.86
ST003,2024-08-01,13.74,28.1,23.52
ST003,2024-09-01,19.0,43.8,19.32
ST003,2024-10-01,19.59,50.6,18.5
ST003,2024-11-01,19.77,85.7,12.47
ST003,2024-12-01,,39.8,9.72
ST004,2022-01-01,14.86,129.1,5.57
ST004,2022-02-01,9.04,55.1,7.63
ST004,2022-03-01,11.71,72.8,9.72
ST004,2022-04-01,11.5,43.2,14.41
ST004,2022-05-01,4.1,53.2,19.65
ST004,2022-06-01,5.93,21.7,22.41
ST004,2022-07-01,10.75,49.0,22.84
ST004,2022-08-01,,22.3,20.42
ST004,2022-09-01,9.4,50.8,18.84
ST004,2022-10-01,10.34,64.3,14.86
ST004,2022-11-01,10.59,107.8,10.2
ST004,2022-12-01,11.43,74.5,5.41
